playerID,Name,yearID,G,AB,R,H,2B,3B,HR,RBI,BB,IBB,HBP,SH
ashburi01,Richie Ashburn,1950,4,17,0,3,1,0,0,1,0,0,0.0,0.0
dimagjo01,Joe DiMaggio,1950,4,13,2,4,1,0,1,2,3,1,1.0,0.0
rizzuph01,Phil Rizzuto,1950,4,14,1,2,0,0,0,0,3,0,0.0,1.0
mizejo01,Johnny Mize,1950,4,15,0,2,0,0,0,0,0,0,0.0,0.0
berrayo01,Yogi Berra,1950,4,15,2,3,0,0,1,2,2,0,0.0,0.0
berrayo01,Yogi Berra,1951,6,23,4,6,1,0,0,0,2,0,0.0,0.0
irvinmo01,Monte Irvin,1951,6,24,3,11,0,1,0,2,2,0,0.0,0.0
dimagjo01,Joe DiMaggio,1951,6,23,3,6,2,0,1,5,2,2,0.0,0.0
rizzuph01,Phil Rizzuto,1951,6,25,5,8,0,0,1,3,2,0,1.0,0.0
mantlmi01,Mickey Mantle,1951,2,5,1,1,0,0,0,0,2,0,0.0,0.0
mayswi01,Willie Mays,1951,6,22,1,4,0,0,0,1,2,0,0.0,0.0
mizejo01,Johnny Mize,1951,4,7,2,2,1,0,0,1,2,1,0.0,0.0
robinja02,Jackie Robinson,1952,7,23,4,4,0,0,1,2,7,2,0.0,0.0
mantlmi01,Mickey Mantle,1952,7,29,5,10,1,1,2,3,3,0,0.0,0.0
mizejo01,Johnny Mize,1952,5,15,3,6,1,0,3,6,3,0,0.0,0.0
snidedu01,Duke Snider,1952,7,29,5,10,2,0,4,8,1,0,1.0,0.0
reesepe01,Pee Wee Reese,1952,7,29,4,10,0,0,1,4,2,0,0.0,1.0
camparo01,Roy Campanella,1952,7,28,0,6,0,0,0,1,1,0,0.0,0.0
rizzuph01,Phil Rizzuto,1952,7,27,2,4,1,0,0,0,5,0,0.0,1.0
berrayo01,Yogi Berra,1952,7,28,2,6,1,0,2,3,2,0,0.0,0.0
snidedu01,Duke Snider,1953,6,25,3,8,3,0,1,5,2,0,0.0,0.0
mantlmi01,Mickey Mantle,1953,6,24,3,5,0,0,2,7,3,1,0.0,0.0
rizzuph01,Phil Rizzuto,1953,6,19,4,6,1,0,0,0,3,0,0.0,1.0
reesepe01,Pee Wee Reese,1953,6,24,0,5,0,1,0,0,4,0,0.0,0.0
mizejo01,Johnny Mize,1953,3,3,0,0,0,0,0,0,0,0,0.0,0.0
camparo01,Roy Campanella,1953,6,22,6,6,0,0,1,2,2,1,1.0,0.0
robinja02,Jackie Robinson,1953,6,25,3,8,2,0,0,2,1,0,0.0,0.0
berrayo01,Yogi Berra,1953,6,21,3,9,1,0,1,4,3,0,2.0,0.0
irvinmo01,Monte Irvin,1954,4,9,1,2,1,0,0,2,0,0,0.0,1.0
mayswi01,Willie Mays,1954,4,14,4,4,1,0,0,3,4,0,0.0,0.0
dobyla01,Larry Doby,1954,4,16,0,2,0,0,0,0,2,1,0.0,0.0
lemonbo01,Bob Lemon,1954,3,6,0,0,0,0,0,0,1,0,0.0,0.0
reesepe01,Pee Wee Reese,1955,7,27,5,8,1,0,0,2,3,0,0.0,1.0
snidedu01,Duke Snider,1955,7,25,5,8,1,0,4,7,2,1,0.0,1.0
mantlmi01,Mickey Mantle,1955,3,10,1,2,0,0,1,1,0,0,0.0,0.0
berrayo01,Yogi Berra,1955,7,24,5,10,1,0,1,2,3,0,1.0,0.0
camparo01,Roy Campanella,1955,7,27,4,7,3,0,2,4,3,0,0.0,1.0
rizzuph01,Phil Rizzuto,1955,7,15,2,4,0,0,0,1,5,0,0.0,0.0
robinja02,Jackie Robinson,1955,6,22,5,4,1,1,0,1,2,0,0.0,0.0
camparo01,Roy Campanella,1956,7,22,2,4,1,0,0,3,3,1,0.0,0.0
snidedu01,Duke Snider,1956,7,23,5,7,1,0,1,4,6,3,0.0,0.0
reesepe01,Pee Wee Reese,1956,7,27,3,6,0,1,0,2,2,0,0.0,1.0
berrayo01,Yogi Berra,1956,7,25,5,9,2,0,3,10,4,2,0.0,0.0
mantlmi01,Mickey Mantle,1956,7,24,6,6,1,0,3,4,6,1,0.0,0.0
robinja02,Jackie Robinson,1956,7,24,5,6,1,0,1,2,5,0,0.0,0.0
slaugen01,Enos Slaughter,1956,6,20,6,7,0,0,1,4,4,2,0.0,0.0
matheed01,Eddie Mathews,1957,7,22,4,5,3,0,1,4,8,0,0.0,1.0
mantlmi01,Mickey Mantle,1957,6,19,3,5,0,0,1,2,3,0,0.0,0.0
schoere01,Red Schoendienst,1957,5,18,0,5,1,0,0,2,0,0,0.0,1.0
slaugen01,Enos Slaughter,1957,5,12,2,3,1,0,0,0,3,0,0.0,0.0
aaronha01,Hank Aaron,1957,7,28,5,11,0,1,3,7,1,0,0.0,0.0
berrayo01,Yogi Berra,1957,7,25,5,8,1,0,1,2,4,1,0.0,0.0
slaugen01,Enos Slaughter,1958,4,3,1,0,0,0,0,0,1,0,0.0,0.0
aaronha01,Hank Aaron,1958,7,27,3,9,2,0,0,2,4,0,0.0,0.0
mantlmi01,Mickey Mantle,1958,7,24,4,6,0,1,2,3,7,1,0.0,0.0
schoere01,Red Schoendienst,1958,7,30,5,9,3,1,0,0,2,0,0.0,1.0
matheed01,Eddie Mathews,1958,7,25,3,4,2,0,0,3,6,2,0.0,0.0
berrayo01,Yogi Berra,1958,7,27,3,6,3,0,0,2,1,0,0.0,0.0
aparilu01,Luis Aparicio,1959,6,26,1,8,1,0,0,0,2,0,0.0,1.0
snidedu01,Duke Snider,1959,4,10,1,2,0,0,1,2,2,0,0.0,0.0
foxne01,Nellie Fox,1959,6,24,4,9,3,0,0,0,4,0,0.0,0.0
clemero01,Roberto Clemente,1960,7,29,1,9,0,0,0,3,0,0,0.0,0.0
mantlmi01,Mickey Mantle,1960,7,25,8,10,1,0,3,11,8,2,0.0,0.0
mazerbi01,Bill Mazeroski,1960,7,25,4,8,2,0,2,5,0,0,0.0,1.0
berrayo01,Yogi Berra,1960,7,22,6,7,0,0,1,8,2,0,0.0,0.0
robinfr02,Frank Robinson,1961,5,15,3,3,2,0,1,4,3,0,2.0,0.0
mantlmi01,Mickey Mantle,1961,2,6,0,1,0,0,0,0,0,0,0.0,0.0
berrayo01,Yogi Berra,1961,4,11,2,3,0,0,1,3,5,2,0.0,0.0
mayswi01,Willie Mays,1962,7,28,3,7,2,0,0,1,1,0,0.0,0.0
cepedor01,Orlando Cepeda,1962,5,19,1,3,1,0,0,2,0,0,0.0,0.0
mccovwi01,Willie McCovey,1962,4,15,2,3,0,1,1,1,1,0,0.0,0.0
mantlmi01,Mickey Mantle,1962,7,25,2,3,1,0,0,0,4,0,0.0,0.0
berrayo01,Yogi Berra,1962,2,2,0,0,0,0,0,0,2,0,0.0,0.0
mantlmi01,Mickey Mantle,1963,4,15,1,2,0,0,1,1,1,0,0.0,0.0
berrayo01,Yogi Berra,1963,1,1,0,0,0,0,0,0,0,0,0.0,0.0
brocklo01,Lou Brock,1964,7,30,2,9,2,0,1,5,0,0,0.0,0.0
mantlmi01,Mickey Mantle,1964,7,24,8,8,2,0,3,8,6,1,0.0,0.0
killeha01,Harmon Killebrew,1965,7,21,2,6,0,0,1,2,6,0,0.0,0.0
robinbr01,Brooks Robinson,1966,4,14,2,3,0,0,1,1,1,0,0.0,0.0
robinfr02,Frank Robinson,1966,4,14,4,4,0,1,2,3,2,0,0.0,0.0
aparilu01,Luis Aparicio,1966,4,16,0,4,1,0,0,2,0,0,0.0,0.0
cepedor01,Orlando Cepeda,1967,7,29,1,3,2,0,0,1,0,0,0.0,0.0
yastrca01,Carl Yastrzemski,1967,7,25,4,10,2,0,3,5,4,1,1.0,0.0
brocklo01,Lou Brock,1967,7,29,8,12,2,1,1,3,2,0,0.0,0.0
brocklo01,Lou Brock,1968,7,28,6,13,3,1,2,5,3,0,0.0,0.0
cepedor01,Orlando Cepeda,1968,7,28,2,7,0,0,2,6,2,0,0.0,0.0
matheed01,Eddie Mathews,1968,2,3,0,1,0,0,0,0,1,0,0.0,0.0
kalinal01,Al Kaline,1968,7,29,6,11,2,0,2,8,0,0,1.0,0.0
aaronha01,Hank Aaron,1969,3,14,3,5,2,0,3,7,0,0,0.0,0.0
robinbr01,Brooks Robinson,1969,5,19,0,1,0,0,0,2,0,0,0.0,0.0
robinfr02,Frank Robinson,1969,5,16,2,3,0,0,1,1,4,0,0.0,0.0
cepedor01,Orlando Cepeda,1969,3,11,2,5,2,0,1,3,1,1,1.0,0.0
robinbr01,Brooks Robinson,1969,3,14,1,7,1,0,0,0,0,0,0.0,1.0
killeha01,Harmon Killebrew,1969,3,8,2,1,1,0,0,0,6,2,0.0,0.0
carewro01,Rod Carew,1969,3,14,0,1,0,0,0,0,1,0,0.0,0.0
robinfr02,Frank Robinson,1969,3,12,1,4,2,0,1,2,3,0,0.0,0.0
stargwi01,Willie Stargell,1970,3,12,0,6,1,0,0,1,1,0,0.0,0.0
perezto01,Tony Perez,1970,5,18,2,1,0,0,0,0,3,0,0.0,0.0
benchjo01,Johnny Bench,1970,5,19,3,4,0,0,1,3,1,0,0.0,0.0
benchjo01,Johnny Bench,1970,3,9,2,2,0,0,1,1,3,2,0.0,0.0
robinbr01,Brooks Robinson,1970,3,12,3,7,2,0,0,2,0,0,0.0,0.0
mazerbi01,Bill Mazeroski,1970,1,2,0,0,0,0,0,0,2,0,0.0,0.0
clemero01,Roberto Clemente,1970,3,14,1,3,0,0,0,1,0,0,0.0,0.0
perezto01,Tony Perez,1970,3,12,1,4,2,0,1,2,1,0,0.0,0.0
robinfr02,Frank Robinson,1970,5,22,5,6,0,0,2,4,0,0,0.0,0.0
robinfr02,Frank Robinson,1970,3,10,3,2,0,0,1,2,5,1,0.0,0.0
robinbr01,Brooks Robinson,1970,5,21,5,9,2,0,2,6,0,0,0.0,0.0
carewro01,Rod Carew,1970,2,2,0,0,0,0,0,0,0,0,0.0,0.0
killeha01,Harmon Killebrew,1970,3,11,2,3,0,0,2,4,2,0,0.0,0.0
mazerbi01,Bill Mazeroski,1971,1,1,1,1,0,0,0,0,0,0,0.0,0.0
jacksre01,Reggie Jackson,1971,3,12,2,4,1,0,2,2,0,0,0.0,0.0
mccovwi01,Willie McCovey,1971,4,14,2,6,0,0,2,6,4,3,0.0,0.0
stargwi01,Willie Stargell,1971,7,24,3,5,1,0,0,1,7,0,0.0,0.0
stargwi01,Willie Stargell,1971,4,14,1,0,0,0,0,0,2,2,1.0,0.0
robinfr02,Frank Robinson,1971,7,25,5,7,0,0,2,2,2,1,1.0,0.0
mazerbi01,Bill Mazeroski,1971,1,1,0,0,0,0,0,0,0,0,0.0,0.0
robinfr02,Frank Robinson,1971,3,12,2,1,1,0,0,1,1,0,0.0,0.0
mayswi01,Willie Mays,1971,4,15,2,4,2,0,1,3,3,0,0.0,0.0
clemero01,Roberto Clemente,1971,4,18,2,6,0,0,0,4,1,0,0.0,0.0
robinbr01,Brooks Robinson,1971,3,11,2,4,1,0,1,3,0,0,0.0,0.0
robinbr01,Brooks Robinson,1971,7,22,2,7,0,0,0,5,3,0,0.0,0.0
clemero01,Roberto Clemente,1971,7,29,3,12,2,1,2,4,2,1,0.0,0.0
hunteca01,Catfish Hunter,1971,1,3,0,0,0,0,0,0,0,0,0.0,0.0
morgajo02,Joe Morgan,1972,5,19,5,5,0,0,2,3,1,0,0.0,1.0
hunteca01,Catfish Hunter,1972,3,5,0,1,0,0,0,1,2,0,0.0,0.0
mazerbi01,Bill Mazeroski,1972,2,2,0,1,0,0,0,0,0,0,0.0,0.0
morgajo02,Joe Morgan,1972,7,24,4,3,2,0,0,1,6,0,0.0,0.0
perezto01,Tony Perez,1972,5,20,0,4,1,0,0,2,0,0,0.0,0.0
hunteca01,Catfish Hunter,1972,2,6,0,1,0,0,0,0,0,0,0.0,0.0
perezto01,Tony Perez,1972,7,23,3,10,2,0,0,2,4,1,0.0,0.0
jacksre01,Reggie Jackson,1972,5,18,1,5,1,0,0,2,1,0,0.0,0.0
kalinal01,Al Kaline,1972,5,19,3,5,0,0,1,1,2,0,0.0,1.0
stargwi01,Willie Stargell,1972,5,16,1,1,1,0,0,1,2,0,0.0,0.0
benchjo01,Johnny Bench,1972,5,18,3,6,1,1,1,2,1,0,0.0,0.0
clemero01,Roberto Clemente,1972,5,17,1,4,1,0,1,2,3,1,0.0,0.0
benchjo01,Johnny Bench,1972,7,23,4,6,1,0,1,1,5,3,0.0,0.0
morgajo02,Joe Morgan,1973,5,20,1,2,1,0,0,1,2,0,0.0,1.0
mayswi01,Willie Mays,1973,3,7,1,2,0,0,0,1,0,0,0.0,0.0
mayswi01,Willie Mays,1973,1,3,1,1,0,0,0,1,0,0,0.0,0.0
jacksre01,Reggie Jackson,1973,7,29,3,9,3,1,1,6,2,0,0.0,0.0
jacksre01,Reggie Jackson,1973,5,21,0,3,0,0,0,0,0,0,0.0,0.0
hunteca01,Catfish Hunter,1973,2,5,0,0,0,0,0,0,0,0,0.0,0.0
perezto01,Tony Perez,1973,5,22,1,2,0,0,1,2,0,0,0.0,0.0
robinbr01,Brooks Robinson,1973,5,20,1,5,2,0,0,2,1,1,0.0,0.0
hunteca01,Catfish Hunter,1973,2,0,0,0,0,0,0,0,0,0,0.0,0.0
benchjo01,Johnny Bench,1973,5,19,1,5,2,0,1,1,2,1,0.0,0.0
jacksre01,Reggie Jackson,1974,5,14,3,4,1,0,1,1,5,0,0.0,0.0
robinbr01,Brooks Robinson,1974,4,12,1,1,0,0,1,1,1,0,0.0,0.0
jacksre01,Reggie Jackson,1974,4,12,0,2,1,0,0,1,5,1,0.0,0.0
hunteca01,Catfish Hunter,1974,2,0,0,0,0,0,0,0,0,0,0.0,0.0
hunteca01,Catfish Hunter,1974,2,2,0,0,0,0,0,0,0,0,0.0,1.0
stargwi01,Willie Stargell,1974,4,15,3,6,0,0,2,4,1,0,0.0,0.0
morgajo02,Joe Morgan,1975,3,11,2,3,3,0,0,1,2,0,1.0,0.0
fiskca01,Carlton Fisk,1975,7,25,5,6,0,0,2,4,7,3,0.0,0.0
yastrca01,Carl Yastrzemski,1975,7,29,7,9,0,0,0,4,4,0,0.0,0.0
perezto01,Tony Perez,1975,7,28,4,5,0,0,3,7,3,0,0.0,0.0
perezto01,Tony Perez,1975,3,12,3,5,0,0,1,4,1,0,0.0,0.0
stargwi01,Willie Stargell,1975,3,11,1,2,1,0,0,0,1,0,0.0,0.0
yastrca01,Carl Yastrzemski,1975,3,11,4,5,1,0,1,2,1,1,0.0,0.0
morgajo02,Joe Morgan,1975,7,27,4,7,1,0,0,3,5,0,0.0,0.0
willibi01,Billy Williams,1975,3,7,0,0,0,0,0,0,1,0,0.0,0.0
benchjo01,Johnny Bench,1975,3,13,1,1,0,0,0,0,1,0,0.0,0.0
fiskca01,Carlton Fisk,1975,3,12,4,5,1,0,0,2,0,0,0.0,0.0
benchjo01,Johnny Bench,1975,7,29,5,6,2,0,1,4,2,0,0.0,0.0
jacksre01,Reggie Jackson,1975,3,12,1,5,0,0,1,3,0,0,0.0,0.0
morgajo02,Joe Morgan,1976,4,15,3,5,1,1,1,2,2,1,0.0,0.0
hunteca01,Catfish Hunter,1976,2,0,0,0,0,0,0,0,0,0,0.0,0.0
morgajo02,Joe Morgan,1976,3,7,2,0,0,0,0,0,6,2,0.0,0.0
brettge01,George Brett,1976,5,18,4,8,1,1,1,5,2,0,0.0,0.0
schmimi01,Mike Schmidt,1976,3,13,1,4,2,0,0,2,0,0,0.0,0.0
perezto01,Tony Perez,1976,3,10,1,2,0,0,0,4,1,0,0.0,0.0
benchjo01,Johnny Bench,1976,4,15,4,8,1,1,2,6,0,0,0.0,0.0
hunteca01,Catfish Hunter,1976,1,0,0,0,0,0,0,0,0,0,0.0,0.0
perezto01,Tony Perez,1976,4,16,1,5,1,0,0,2,1,0,0.0,0.0
benchjo01,Johnny Bench,1976,3,12,3,4,1,0,1,1,1,0,0.0,0.0
hunteca01,Catfish Hunter,1977,2,0,0,0,0,0,0,0,0,0,0.0,0.0
jacksre01,Reggie Jackson,1977,6,20,10,9,1,0,5,8,3,0,1.0,0.0
schmimi01,Mike Schmidt,1977,4,16,2,1,0,0,0,1,2,0,0.0,0.0
jacksre01,Reggie Jackson,1977,5,16,1,2,0,0,0,1,2,0,0.0,0.0
brettge01,George Brett,1977,5,20,2,6,0,2,0,2,1,0,0.0,0.0
brettge01,George Brett,1978,4,18,7,7,1,1,3,3,0,0,0.0,0.0
hunteca01,Catfish Hunter,1978,1,0,0,0,0,0,0,0,0,0,0.0,0.0
hunteca01,Catfish Hunter,1978,2,0,0,0,0,0,0,0,0,0,0.0,0.0
jacksre01,Reggie Jackson,1978,4,13,5,6,1,0,2,6,3,0,0.0,0.0
schmimi01,Mike Schmidt,1978,4,15,1,3,2,0,0,1,2,1,0.0,0.0
jacksre01,Reggie Jackson,1978,6,23,2,9,1,0,2,8,3,1,2.0,0.0
benchjo01,Johnny Bench,1979,3,12,1,3,0,1,1,1,2,0,0.0,0.0
carewro01,Rod Carew,1979,4,17,4,7,3,0,0,1,0,0,0.0,0.0
murraed02,Eddie Murray,1979,4,12,3,5,0,0,1,5,5,2,0.0,0.0
stargwi01,Willie Stargell,1979,3,11,2,5,2,0,2,6,3,1,0.0,0.0
morgajo02,Joe Morgan,1979,3,11,0,0,0,0,0,0,3,0,0.0,0.0
stargwi01,Willie Stargell,1979,7,30,7,12,4,0,3,7,0,0,0.0,0.0
murraed02,Eddie Murray,1979,7,26,3,4,1,0,1,2,4,0,0.0,0.0
jacksre01,Reggie Jackson,1980,3,11,1,3,1,0,0,0,1,0,0.0,0.0
schmimi01,Mike Schmidt,1980,5,24,1,5,1,0,0,1,1,0,0.0,0.0
schmimi01,Mike Schmidt,1980,6,21,6,8,1,0,2,7,4,0,0.0,0.0
brettge01,George Brett,1980,3,11,3,3,1,0,2,4,1,0,0.0,0.0
brettge01,George Brett,1980,6,24,3,9,2,1,1,3,2,1,0.0,0.0
morgajo02,Joe Morgan,1980,4,13,1,2,1,1,0,0,6,1,0.0,0.0
jacksre01,Reggie Jackson,1981,5,20,4,6,0,0,2,4,1,0,0.0,0.0
yountro01,Robin Yount,1981,5,19,4,6,0,1,0,1,2,0,0.0,0.0
molitpa01,Paul Molitor,1981,5,20,2,5,0,0,1,1,2,0,0.0,1.0
jacksre01,Reggie Jackson,1981,2,4,1,0,0,0,0,1,1,0,0.0,0.0
schmimi01,Mike Schmidt,1981,5,16,3,4,1,0,1,2,4,1,0.0,0.0
brettge01,George Brett,1981,3,12,0,2,0,0,0,0,0,0,0.0,0.0
jacksre01,Reggie Jackson,1981,3,12,3,4,1,0,1,1,2,1,0.0,0.0
cartega01,Gary Carter,1981,5,16,3,7,1,0,0,0,4,0,0.0,0.0
raineti01,Tim Raines,1981,5,21,1,5,2,0,0,1,0,0,0.0,0.0
winfida01,Dave Winfield,1981,3,13,2,2,1,0,0,2,2,0,0.0,0.0
winfida01,Dave Winfield,1981,6,22,0,1,0,0,0,1,5,0,0.0,0.0
dawsoan01,Andre Dawson,1981,5,20,2,3,0,0,0,0,0,0,0.0,0.0
